tconst,averageRating,numVotes
tt0000001,5.7,2059
tt0000002,5.6,277
tt0000003,6.5,2019
tt0000004,5.3,180
tt0000005,6.2,2785
tt0000006,5.1,187
tt0000007,5.4,864
tt0000008,5.4,2201
tt0000009,5.4,212
tt0000010,6.8,7586
tt0000011,5.2,389
tt0000012,7.4,12912
tt0000013,5.7,1971
tt0000014,7.1,5866
tt0000015,6.1,1183
tt0000016,5.9,1584
tt0000017,4.6,348
tt0000018,5.2,629
tt0000019,5.1,32
tt0000020,4.7,383
tt0000022,5.1,1149
tt0000023,5.7,1513
tt0000024,3.8,134
tt0000025,3.8,45
tt0000026,5.6,1611
tt0000027,5.6,1215
tt0000028,5.1,1142
tt0000029,5.9,3528
tt0000030,5.2,899
tt0000031,5.5,1053
tt0000032,5,437
tt0000033,5.5,1083
tt0000034,4.9,230
tt0000035,5.5,84
tt0000036,4.4,623
tt0000037,4.5,73
tt0000038,4.2,215
tt0000039,3.7,33
tt0000040,4.2,73
tt0000041,6.7,2005
tt0000042,4.2,39
tt0000043,3.4,33
tt0000044,4,50
tt0000045,4,34
tt0000046,4.1,36
tt0000047,3.6,38
tt0000048,4.7,217
tt0000049,4.8,53
tt0000050,4.1,35
